Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficent
Query 1,1,0.1,1
Query 2,2,0.2,0.0
Query 3,5,0.5,-2.75
Query 4,5,0.5,-2.75
Query 5,2,0.2,-4.0
Query 6,2,0.2,-3.0
Query 7,4,0.4,-4.5
Query 8,2,0.2,-80.0
Query 9,4,0.4,-0.1
Query 10,0,0.0,0
Query 11,2,0.2,-19.0
Query 12,1,0.1,0
Query 13,1,0.1,0
Query 14,0,0.0,0
Query 15,4,0.4,-11.2
Query 16,3,0.3,-11.25
Query 17,5,0.5,0.1
Query 18,1,0.1,0
Query 19,1,0.1,1
Query 20,0,0.0,0
Query 21,3,0.3,-18.25
Query 22,1,0.1,1
Query 23,4,0.4,-1.6
Query 24,1,0.1,0
Query 25,2,0.2,-35.0
Query 26,0,0.0,0
Query 27,1,0.1,0
Query 28,3,0.3,-20.5
Query 29,2,0.2,-1.0
Query 30,2,0.2,-24.0
Query 31,4,0.4,-4.0
Query 32,1,0.1,0
Query 33,2,0.2,-25.0
Query 34,1,0.1,0
Query 35,1,0.1,0
Query 36,2,0.2,-48.0
Query 37,0,0.0,0
Query 38,0,0.0,0
Query 39,1,0.1,1
Query 40,4,0.4,-0.8
Query 41,4,0.4,-5.9
Query 42,5,0.5,-3.25
Query 43,0,0.0,0
Query 44,2,0.2,0.0
Query 45,2,0.2,-64.0
Query 46,5,0.5,-0.05
Query 47,0,0.0,0
Query 48,6,0.6,0.4
Query 49,5,0.5,-1.15
Query 50,1,0.1,0
Query 51,1,0.1,0
Query 52,4,0.4,-1.2
Query 53,2,0.2,-4.0
Query 54,1,0.1,0
Query 55,3,0.3,-2.25
Query 56,4,0.4,0.8
Query 57,1,0.1,0
Query 58,4,0.4,0.3
Query 59,3,0.3,0.25
Query 60,1,0.1,0
Query 61,1,0.1,0
Query 62,1,0.1,0
Query 63,4,0.4,-3.5
Query 64,1,0.1,1
Query 65,1,0.1,0
Query 66,1,0.1,1
Query 67,1,0.1,0
Query 68,2,0.2,-16.0
Query 69,1,0.1,0
Query 70,3,0.3,-9.5
Query 71,3,0.3,-1.75
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,3,0.3,-7.75
Query 75,4,0.4,-2.0
Query 76,5,0.5,-1.5
Query 77,2,0.2,-15.0
Query 78,1,0.1,0
Query 79,1,0.1,0
Query 80,3,0.3,-9.75
Query 81,3,0.3,-2.25
Query 82,0,0.0,0
Query 83,2,0.2,-24.0
Query 84,2,0.2,-67.0
Query 85,2,0.2,-17.0
Query 86,2,0.2,-15.0
Query 87,3,0.3,0.75
Query 88,1,0.1,0
Query 89,2,0.2,-1.0
Query 90,3,0.3,-4.0
Query 91,2,0.2,0.0
Query 92,4,0.4,-1.8
Query 93,1,0.1,0
Query 94,3,0.3,-2.5
Query 95,4,0.4,0.6
Query 96,3,0.3,-16.25
Query 97,2,0.2,0.0
Query 98,4,0.4,-3.9
Query 99,4,0.4,-5.6
Query 100,0,0.0,0
Averages,2.19,0.22,-6.16
